source,target,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,
2,37,
2,40,
2,105,
2,221,
2,33,
2,142,
2,103,
2,181,
2,210,
2,144,
2,185,
2,108,
2,90,
2,109,
2,134,
2,18,
2,58,
2,28,
2,146,
2,39,
2,87,
2,118,
2,41,
2,121,
2,20,
2,89,
2,173,
2,59,
2,148,
2,175,
2,76,
2,75,
2,122,
2,32,
2,99,
2,124,
2,43,
2,73,
2,14,
2,151,
2,209,
2,152,
2,153,
2,54,
2,61,
2,155,
2,111,
2,222,
2,113,
2,178,
2,81,
2,106,
2,129,
2,139,
2,72,
2,7,
2,132,
2,191,
2,82,
2,207,
2,112,
2,29,
2,96,
2,158,
2,223,
2,3,
2,71,
2,5,
2,160,
2,79,
2,224,
2,8,
2,208,
2,100,
2,212,
2,55,
2,225,
2,46,
2,116,
2,88,
2,92,
2,119,
2,11,
2,84,
2,31,
2,163,
2,104,
2,115,
2,93,
2,13,
2,38,
2,165,
2,102,
2,226,
2,83,
2,17,
2,36,
2,74,
2,125,
2,126,
2,166,
2,167,
2,4,
2,56,
2,16,
2,1,
2,47,
2,19,
2,127,
2,6,
2,135,
2,49,
2,130,
2,34,
2,170,
2,114,
2,44,
2,12,
2,136,
2,26,
2,95,
2,30,
2,196,
2,227,
2,35,
2,91,
2,171,
2,182,
2,172,
3,37,
3,40,
3,105,
3,33,
3,103,
3,117,
3,198,
3,90,
3,108,
3,18,
3,58,
3,28,
3,118,
3,41,
3,69,
3,121,
3,89,
3,97,
3,76,
3,32,
3,99,
3,73,
3,43,
3,124,
3,14,
3,110,
3,155,
3,107,
3,128,
3,106,
3,139,
3,72,
3,131,
3,7,
3,132,
3,191,
3,29,
3,78,
3,96,
3,5,
3,160,
3,8,
3,88,
3,119,
3,31,
3,163,
3,94,
3,104,
3,13,
3,165,
3,83,
3,17,
3,125,
3,77,
3,126,
3,2,
3,167,
3,1,
3,56,
3,19,
3,6,
3,127,
3,34,
3,12,
3,26,
3,95,
3,196,
3,171,
3,172,
4,13,
4,75,
4,88,
4,32,
4,33,
4,43,
4,5,
4,71,
4,7,
4,8,
4,2,
4,82,
4,18,
4,95,
4,58,
4,6,
4,28,
4,81,
5,37,
5,40,
5,9,
5,33,
5,142,
5,103,
5,143,
5,117,
5,144,
5,108,
5,90,
5,109,
5,18,
5,58,
5,145,
5,28,
5,146,
5,41,
5,118,
5,69,
5,120,
5,121,
5,20,
5,101,
5,89,
5,147,
5,148,
5,97,
5,149,
5,76,
5,150,
5,75,
5,122,
5,32,
5,99,
5,124,
5,43,
5,73,
5,14,
5,151,
5,152,
5,153,
5,154,
5,54,
5,22,
5,110,
5,155,
5,15,
5,107,
5,128,
5,106,
5,129,
5,139,
5,156,
5,72,
5,131,
5,70,
5,7,
5,132,
5,82,
5,29,
5,96,
5,78,
5,157,
5,158,
5,140,
5,3,
5,159,
5,71,
5,160,
5,79,
5,8,
5,100,
5,55,
5,88,
5,23,
5,119,
5,11,
5,161,
5,162,
5,31,
5,163,
5,94,
5,104,
5,13,
5,123,
5,164,
5,38,
5,165,
5,102,
5,83,
5,36,
5,125,
5,77,
5,126,
5,166,
5,2,
5,167,
5,48,
5,24,
5,168,
5,4,
5,56,
5,16,
5,1,
5,47,
5,19,
5,127,
5,6,
5,49,
5,130,
5,10,
5,42,
5,34,
5,169,
5,170,
5,44,
5,12,
5,95,
5,30,
5,133,
5,171,
5,172,
6,37,
6,40,
