source,target,
1,2,
1,3,
1,4,
2,5,
2,6,
2,7,
2,8,
2,9,
2,10,
2,11,
2,12,
2,13,
2,14,
2,15,
2,16,
2,17,
2,18,
2,19,
2,20,
2,21,
2,22,
2,23,
2,24,
2,25,
2,26,
2,27,
2,28,
2,29,
2,30,
3,31,
3,2,
3,32,
3,33,
3,34,
3,35,
3,36,
3,37,
3,38,
3,39,
3,40,
3,41,
3,42,
3,43,
3,44,
4,3,
4,23,
4,45,
4,46,
4,47,
4,48,
4,49,
4,50,
4,51,
6,8,
6,52,
7,10,
7,54,
7,55,
7,56,
8,53,
10,57,
10,58,
10,59,
13,118,
21,119,
21,2,
21,33,
21,3,
21,98,
21,70,
22,21,
22,120,
23,121,
23,122,
23,123,
23,124,
23,125,
23,126,
23,127,
23,128,
23,129,
23,130,
23,131,
23,132,
23,133,
23,134,
23,135,
23,136,
23,137,
23,138,
23,139,
23,140,
23,141,
23,142,
23,143,
23,144,
23,145,
23,146,
23,147,
23,148,
23,149,
23,150,
23,151,
23,152,
23,153,
23,154,
23,155,
23,156,
23,157,
23,158,
23,159,
23,160,
23,161,
23,162,
23,163,
23,164,
23,165,
23,166,
23,167,
23,168,
23,169,
23,170,
23,171,
23,172,
23,173,
23,174,
23,175,
23,176,
23,177,
23,178,
23,179,
23,180,
23,181,
23,182,
23,183,
23,184,
23,185,
23,186,
23,187,
23,188,
23,189,
23,190,
23,191,
23,192,
23,193,
23,194,
23,195,
23,196,
23,197,
23,198,
23,199,
23,200,
23,201,
23,202,
23,203,
23,204,
23,205,
23,206,
23,207,
23,208,
23,209,
23,210,
23,211,
23,212,
23,213,
23,214,
23,215,
23,216,
23,217,
23,218,
23,219,
23,220,
23,221,
23,222,
23,223,
23,224,
23,225,
23,226,
23,227,
23,228,
23,229,
23,230,
23,231,
23,232,
23,233,
23,234,
23,235,
23,236,
23,237,
23,238,
23,239,
23,240,
23,241,
23,242,
23,243,
23,244,
23,245,
23,246,
23,247,
23,248,
23,249,
23,250,
23,251,
23,252,
23,253,
23,254,
23,255,
23,256,
23,257,
23,258,
23,259,
23,260,
24,138,
24,261,
24,46,
24,262,
24,263,
24,264,
24,265,
24,266,
24,267,
24,268,
24,269,
24,270,
24,271,
24,272,
24,273,
24,274,
24,275,
24,276,
24,277,
24,278,
24,279,
24,280,
24,281,
24,282,
24,283,
24,284,
24,285,
24,286,
24,287,
24,288,
24,289,
24,290,
24,291,
24,292,
25,123,
25,138,
25,261,
25,46,
25,262,
25,263,
25,264,
25,265,
25,266,
25,293,
25,268,
25,269,
25,271,
25,272,
25,24,
25,294,
25,295,
25,296,
25,297,
25,298,
25,299,
25,300,
25,301,
25,302,
25,303,
25,304,
25,305,
25,306,
25,307,
26,123,
26,138,
26,142,
26,23,
26,308,
26,309,
26,310,
26,261,
26,46,
26,262,
26,263,
26,264,
26,265,
26,266,
26,311,
26,267,
26,312,
26,293,
26,268,
26,269,
26,271,
26,272,
26,24,
26,313,
26,314,
26,315,
26,316,
26,317,
26,318,
26,319,
26,320,
26,321,
26,322,
26,323,
26,324,
26,325,
26,326,
26,327,
26,328,
26,329,
26,330,
26,331,
26,332,
26,333,
26,334,
26,335,
26,336,
26,337,
26,338,
26,339,
26,340,
26,341,
26,342,
26,343,
26,344,
26,345,
26,346,
26,347,
26,348,
26,349,
26,350,
26,351,
27,261,
27,262,
27,293,
27,268,
27,272,
27,24,
27,352,
27,313,
27,314,
27,315,
27,353,
