source,target
5,51
5,45
5,18
5,76
7,74
7,51
8,62
8,17
9,66
9,59
9,72
9,40
9,8
9,17
9,71
9,5
9,7
9,37
9,62
9,57
9,1
9,2
9,38
9,63
9,53
9,65
9,30
9,12
9,28
9,48
9,69
9,22
9,51
10,31
10,62
10,51
15,77
15,27
15,57
15,66
16,51
16,37
18,76
22,41
22,71
22,24
22,5
22,45
22,18
22,76
22,51
23,70
23,3
23,57
23,68
23,12
23,28
23,37
23,38
23,79
23,65
23,62
23,48
23,22
23,51
23,7
24,5
26,67
28,4
28,51
30,49
30,62
31,48
31,22
31,51
33,51
33,62
35,62
35,51
37,59
37,64
37,77
37,78
37,70
37,54
37,27
37,57
37,1
37,2
37,63
37,53
37,47
37,33
37,35
37,61
37,51
37,10
37,50
37,31
37,62
38,62
38,33
38,61
38,51
38,37
38,31
39,51
44,62
48,43
48,6
48,32
48,51
49,62
49,72
49,53
49,8
49,25
49,28
50,60
50,79
50,70
50,3
50,57
50,2
50,38
50,53
50,65
50,12
50,48
50,69
50,7
50,22
50,28
50,62
50,51
51,26
51,67
51,29
51,74
51,68
53,62
53,51
57,19
59,62
60,1
60,66
60,72
60,52
60,40
60,8
60,41
60,71
60,24
60,5
60,45
60,18
60,76
60,29
60,68
60,9
60,78
60,21
60,54
60,14
60,2
60,36
60,47
60,33
60,55
60,13
60,58
60,16
60,61
60,11
60,46
60,75
60,56
60,44
60,39
60,65
60,30
60,34
60,7
60,3
60,57
60,70
60,20
60,27
60,37
60,31
60,51
60,25
60,62
60,23
60,73
60,69
60,28
60,48
60,22
60,12
61,51
62,4
62,22
62,71
62,5
62,43
62,32
62,69
62,7
62,51
64,62
65,62
65,22
65,51
68,42
68,7
69,51
76,51
79,9
79,38
79,53
79,33
79,12
79,22
79,28
79,65
79,62
79,34
79,39
79,61
79,37
79,51
79,5
