Node,x,y
1,195.6732407,1301.075989
2,199.1716805,1302.664001
3,196.6928406,1296.692017
4,193.720788,1306.411904
5,182.2264786,1308.388
6,205.6646795,1294.184021
7,464.6419983,537.8040009
8,476.7636108,512.7955933
9,488.0488876,516.6615829
10,526.1247864,444.6951904
11,482.6400146,647.2171936
12,481.1332092,661.9023972
13,484.2323914,626.9667969
14,475.9400024,629.0855942
15,476.519989,631.7455978
16,405.9400024,381.4703979
17,425.5675964,495.1755981
18,416.5299988,446.6903992
19,413.322403,435.5223999
20,477.1955872,335.1968079
21,419.8032074,218.4239807
22,419.64,319.7004076
23,496.4324036,298.9559937
24,416.2198809,224.0285454
25,417.1855927,248.9799805
26,411.963196,454.1867996
27,491.266816,258.9320076
28,501.944397,445.4411926
29,476.7731934,386.0704041
30,416.8432007,489.9423981
31,442.9691925,238.776001
32,433.2388,265.1879883
33,464.3768005,343.2247925
34,493.2167969,185.5759888
35,475.025608,445.2847916
36,403.4756012,453.3591919
37,438.7124023,312.7799988
38,467.040802,234.5599976
39,396.9011993,413.1203918
40,434.5012054,408.6911926
41,415.1011963,461.5935974
42,409.6988068,472.3955994
43,419.326796,348.5311876
44,503.0512085,248.2839966
45,494.5423889,336.1091919
46,392.694397,399.7680054
47,402.0700073,425.8403931
48,463.3587952,256.3760071
49,399.5231934,465.4736023
50,510.7331848,407.6412048
51,414.1768036,485.3079987
52,422.8088074,237.7319946
53,393.8432007,397.9935913
54,439.2212067,452.2868042
55,433.2368011,279.2160034
56,419.8244019,241.9960022
57,446.613205,274.6199951
58,425.1643982,397.0767822
59,420.7599945,472.3511963
60,454.4855957,250.8479919
61,401.2899933,416.8312073
62,425.7855988,358.6511841
63,419.3455963,462.3536072
64,437.1443939,197.7279663
65,455.0688019,275.0400085
66,407.1644,433.9347836
67,428.7288055,263.9320068
68,389.1024017,387.6856079
69,419.1531982,342.055603
70,418.5211945,268.3079834
71,404.4488068,460.7936096
72,418.8432007,219.9599915
73,421.7276001,300.8439941
74,413.4875946,362.2124023
75,440.7187958,243.9679871
76,415.7476044,501.2355957
77,404.6456,479.3168036
78,432.1044006,229.4679871
79,518.8676147,339.6304016
80,471.2456055,351.0447998
81,406.5,396.3124084
82,401.2644043,455.9468079
83,460.0812073,271.6600037
84,507.9755859,218.5360107
85,476.9200134,413.4011841
86,443.2044067,328.0512085
87,414.2787933,394.0011902
88,394.509996,401.9231876
89,497.7331848,187.4039917
90,401.8824005,424.5447998
91,486.0856018,374.6091919
92,495.1044006,394.5379956
93,412.8244019,404.1655884
94,490.183197,463.3823853
95,412.2131958,408.3768005
96,452.3843994,445.8003845
97,481.1264038,212.3160095
98,416.7756042,226.7720032
99,419.6399994,330.5484009
100,431.6876068,452.0503845
101,428.7324066,231.2919922
102,418.4432068,256.3800049
103,428.683197,292.7080078
104,420.0756073,276.6239929
105,444.9523926,236.5480041
106,420.4555969,351.8868103
107,484.5799866,456.653595
108,435.5576019,228.7919922
109,437.873992,205.2039596
110,392.142396,394.8923956
111,416.1011963,230.0639954
