Node,x,y,
1,657,389.8,
2,645.2,411.4,
3,643.4,431.6,
4,660.4,428.6,
5,657,404.6,
6,643,420.4,
7,661.4,415.4,
8,657.8,390,
9,664.2,409.6,
10,667.35794,391.745768,
11,649.2,381.6,
12,676.8,401.6,
13,652,421.8,
14,665.2,411,
15,643.4,431.6,
16,664.4,411.6,
17,657,400,
18,660.59852,412.120664,
19,661,402.6,
20,666.8,398.8,
21,649.2,401.4,
22,658.2,396.8,
23,294.2,407.4,
24,692.2,416.4,
25,688.613396,394.522676,
26,686.297,393.869768,
27,691.544684,392.470364,
28,803.8,317.2,
29,678.8,364.6,
30,621.2,377.6,
31,653.699528,432.315812,
32,676.8,401.6,
33,665.2,411,
34,664.4,411.6,
35,661,402.6,
36,649.2,401.4,
37,658,397.2,
38,660.4,428.6,
39,692.2,416.4,
40,688.613396,394.522676,
41,686.297,393.869768,
42,631.20374,434.868776,
43,617.8,412.4,
44,556.6,443.4,
45,710,442.4,
46,720.6,434.2,
47,711.263432,465.523124,
48,688.4,434.4,
49,679.6,437.2,
50,784.6,358.2,
51,788.2,357.8,
52,645.2,411.4,
53,657,400,
54,645.2,411.4,
55,666.8,398.8,
56,611,360.6,
57,645.2,411.4,
58,652,410.8,
59,660.59852,412.120664,
60,654.2,401,
61,665.2,411,
62,664.4,411.6,
63,641.2,426.6,
64,661,402.6,
65,692.2,416.4,
66,686.297,393.869768,
67,691.544684,392.470364,
68,681.509708,410.10524,
69,645.8,418.6,
70,661,402.6,
71,649.2,401.4,
72,649,393,
73,643.4,431.6,
74,669,426,
75,649.2,422.2,
76,653,390.4,
77,677.2,412.6,
78,649.2,381.6,
79,665.2,411,
80,652,410.8,
81,643.4,431.6,
82,657,400,
83,649.2,401.4,
84,731.434328,460.289396,
85,692.2,416.4,
86,686.297,393.869768,
87,678.8,364.6,
88,662,379.8,
89,657.8,390,
90,645.2,411.4,
91,673.6,389.2,
92,652,410.8,
93,649.2,422.2,
94,669.6,427.6,
95,664.8,387,
96,645.2,411.4,
97,660,393.8,
98,664.4,411.6,
99,661,402.6,
100,649.2,401.4,
101,686.297,393.869768,
102,515.8,449.2,
103,772.4,333.8,
104,670.923428,386.709704,
105,645.2,421.8,
106,665.2,411,
107,643.4,431.6,
108,657,400,
109,667.35794,391.745768,
110,661,402.6,
111,666.8,398.8,
112,651,419.4,
113,653,390.4,
114,653,390.4,
115,653,390.4,
116,645.2,421.8,
117,645.2,411.4,
118,657,400,
119,678.4,423.2,
120,651.517028,390.242288,
121,381,414.6,
122,353.6,368,
123,355.4,403.4,
124,325,376,
125,382,405.2,
126,371,399.4,
127,351.4,385.2,
128,324.6,407.2,
129,272,377.2,
130,236.2,326.4,
131,235.958564,345.02282,
132,249.8,335.8,
133,262.8,359,
134,213.286136,311.132804,
135,313.2,405.8,
136,271.2,375.8,
137,259.6,329.2,
138,281,391.4,
139,259.2,356.4,
140,230,345.6,
141,237.2,360.8,
142,285.8,394.6,
143,250.4,335.2,
144,291.2,392.6,
145,242,337,
146,292.4,390.6,
147,231,346.6,
148,257.8,360.8,
149,252,376.6,
150,232.2,349.2,
151,263.6,387,
152,244.8,351.8,
153,235.6,356.4,
154,230.2,312.8,
155,233.2,342.4,
156,230.6,340.4,
157,255.6,342.4,
158,267.8,365.6,
159,268.4,388.6,
160,238.4,335.2,
161,440.8,322,
162,473.8,333.8,
163,436.8,319.8,
164,440.2,323.2,
165,441.650696,327.462812,
166,445.250432,334.002128,
167,430.4,327.4,
168,438.307424,312.504356,
169,824.8,304.4,
170,834.8,303.8,
171,813.057248,311.145284,
172,737.6,487.4,
173,719.6,456,
174,720.6,434.2,
175,660.4,428.6,
176,711.263432,465.523124,
177,713.6,459.6,
178,679.6,437.2,
179,739.6,479.6,
180,707.6,465.8,
181,692.2,416.4,
182,688.613396,394.522676,
183,686.297,393.869768,
184,691.544684,392.470364,
185,312.6,231.8,
186,639.2,325,
187,642.988892,297.90896,
188,628.2,337.6,
189,671,324.8,
190,479,349.2,
191,531,345,
192,780.873836,332.317316,
193,775.4,331.8,
194,777.586172,333.96122,
195,850.6,288.4,
196,843.8,288.4,
197,848,291.4,
198,704.4,287.6,
199,668,287.8,
200,699.4,292.6,
201,578.329292,259.808372,
202,584.4,275.4,
203,624,351.4,
204,617.612528,336.469208,
