Node,x,y
1,646.7947591,174.5615952
2,630.2826622,215.8052029
3,708.5781658,67.13867846
4,278.2083459,476.9318865
5,262.5833588,625.3109485
6,265.0801757,430.4975818
7,71.22050477,773.0769231
8,373.6666478,369.5299185
9,462.9949164,392.4269762
10,636.9472226,341.5814452
11,351.2012814,416.0344683
12,333.2944645,440.4924085
13,600.3918452,392.6872272
14,635.683763,194.5702567
15,671.0491866,87.680843
16,407.5153668,393.5063984
17,389.2116535,341.5817015
18,227.303657,661.8483959
19,602.8200567,125.7270935
20,735.1339546,101.5353006
21,741.8296323,43.96379
22,297.7795791,501.8131647
23,455.7250182,405.5229487
24,270.1139576,629.3801424
25,308.7619401,427.2185895
26,319.0934947,716.3619405
27,769.5551438,90.07356877
28,302.6800005,464.0332813
29,157.7530329,700.979379
30,401.2562433,437.9229349
31,455.6745792,398.0078665
32,231.9519535,470.1196574
33,497.1319182,333.3862535
34,283.2490584,452.3479959
35,558.9551579,392.2160947
36,615.2455815,244.9698161
37,681.1447876,99.32346131
38,654.770418,269.7300883
39,413.3165842,413.336261
40,440.2960116,365.812609
41,307.3578744,545.6834528
42,86.26682623,763.6375374
43,249.0699483,410.8504368
44,434.2718966,416.4535945
45,233.5612755,647.2262606
46,418.5359158,365.4356738
47,524.2930448,324.2257969
48,269.7938574,461.1314806
49,514.8623912,375.4210882
50,511.2389755,389.8749357
51,190.2034967,707.0450625
52,460.2748169,433.7174628
53,591.6421003,276.5953125
54,796.1538462,70.74648154
55,516.1672241,300.6647809
56,335.5421667,396.5012975
57,651.1804999,136.5796567
58,615.0670324,453.7040032
59,662.4123955,222.5263845
60,614.9681495,364.5995089
61,374.8205838,405.2350467
62,288.3489605,436.1021312
63,637.8459885,303.1642292
64,550.0117777,342.0496111
65,367.2970206,427.6067683
66,671.2518525,176.0916036
67,316.9417701,719.9816102
68,108.0452985,759.0415058
69,323.307232,499.1271166
70,768.2464608,59.44457769
71,295.7228869,553.7209045
72,635.5008036,259.8112565
73,317.2741912,423.7982282
74,26.92307692,770.5469668
75,386.224693,366.3895851
76,216.700726,676.1059383
77,664.2401697,9.618551538
78,685.5903132,3.846153846
79,636.2255007,356.7100552
