Node,x,y,
1,1451.8662375,1053.03995,
2,1709.7239,1164.8001,
3,1394.438095,2040.561545,
4,1028.060415,1603.4988,
5,837.81555,1748.156325,
6,795.54825,1654.49035,
7,1581.146835,888.4635,
8,1591.5248,959.867,
9,1524.1437425,912.9576,
10,1594.68625,911.30755,
11,1576.59426,819.54205,
12,1543.092762,907.36885,
13,1411.62259,1196.2482,
14,1522.835396,1253.01155,
15,1603.19875,1199.59425,
16,1574.800055,1086.79325,
17,1598.097,939.5383,
18,1605.05226,828.5682,
19,1582.945005,1054.61645,
20,1511.43706385,867.13815,
21,1454.56992,1277.17465,
22,1467.69336,890.97175,
23,1510.208176,850.178,
24,1480.9479085,1015.57395,
25,1551.476515,995.04585,
26,1509.7667349,990.7209,
27,1610.89663,944.4769,
28,1569.92522,910.3619,
29,1661.07946,903.6735,
30,1577.764825,926.1937,
31,1628.62203,1087.81665,
32,1495.9663265,887.81515,
33,1556.31138,919.76,
34,1619.41075,984.1435,
35,1443.8987,1124.1553,
36,1560.108195,959.0263,
37,1677.3519,1105.9472,
38,1506.8610375,920.8337,
39,1617.366585,927.0396,
40,1542.204752,952.7054,
41,1493.725515,945.12375,
42,1472.10759,1219.67885,
43,1596.36978,993.904,
44,1489.856145,1507.08335,
45,1536.9041615,1073.854,
46,1536.0988465,924.705,
47,1637.00028,1045.7127,
48,1590.33477,1104.1384,
49,1468.015005,1055.2377,
50,1596.1883,926.7519,
51,1505.6122785,1136.72385,
52,1644.19235,912.43185,
53,1464.673745,976.8233,
54,1555.456215,838.88775,
55,1529.398,1178.53655,
56,1558.38534,978.64935,
57,1664.687385,1030.2114,
58,1523.7890245,1015.51275,
59,1516.7096655,1382.1332,
60,1597.501785,1246.594,
61,1572.5603525,1324.3522,
62,1634.786985,1003.3415,
63,1481.5347025,1165.1361,
64,1523.906971,1045.6635,
65,1598.942275,1050.12525,
66,1583.4369,804.51425,
67,1574.3917275,970.8586,
68,1502.159771,963.9853,
69,1492.0090425,976.0345,
70,1613.30726,878.9826,
71,1496.764803,988.5948,
72,1622.81938,1329.83795,
73,1656.01087,1167.35345,
74,1632.459915,936.03915,
75,1557.324337,899.1765,
76,1478.993445,1103.92275,
77,1619.95681,1015.0606,
78,1544.893985,892.9941,
79,1569.206435,1210.8243,
80,1532.10306,1028.12115,
81,1548.4198875,1020.09235,
82,1529.123685,867.777,
83,1400.280275,1358.04645,
84,1470.126812,1079.8952,
85,1668.45826,1302.72725,
86,1510.7195109,1116.3711,
87,1558.30036,1074.07885,
88,1404.687575,1269.41065,
89,1541.4673425,1006.513,
90,1494.555662,1050.25595,
91,1600.123315,1164.4867,
92,1714.05395,1201.3074,
93,1567.9665375,1063.44295,
94,1462.701895,1020.27535,
95,1480.9867935,988.30575,
96,1625.665915,1123.1564,
97,1649.39402,1077.7101,
98,1488.1229535,1123.8729,
99,1640.88745,1374.9325,
100,1544.0557,1368.62255,
101,1640.85585,1112.4917,
102,1415.716,1511.2833,
103,1625.904685,883.7359,
104,1607.89461,852.26215,
105,1606.58069,892.2818,
106,1514.9457565,943.61335,
107,1636.70345,971.0385,
108,1577.15557,1263.10195,
109,1556.642155,1006.4002,
110,1526.717923,843.1574,
111,1531.1216775,1410.1117,
112,1619.13032,1048.86565,
113,1484.9047965,1039.81545,
114,1558.4846,1039.461,
115,1714.299325,1051.57735,
116,1519.744072,882.2667,
117,1571.16082,874.8996,
118,1565.17128,996.0936,
119,1467.19004,1189.63635,
120,1544.493795,868.3187,
121,1630.13381,869.556,
122,1508.9937715,1053.7829,
123,1457.560383,921.72175,
124,1513.59552975,1004.552,
125,1584.58452,868.006,
126,1562.50921,824.80585,
127,1508.0713658,1069.648,
128,1600.361825,865.1639,
129,1778.62963,1232.16885,
130,1543.20801,970.89975,
131,1494.094469,1078.95825,
132,1563.143013,933.0909,
133,1706.73809,1149.6503,
134,1578.12198,1039.4723,
135,1516.5997465,977.687,
136,1621.79235,896.80585,
137,1452.760788,991.6058,
138,1517.83028,1300.98745,
139,1536.2905885,990.9571,
140,1691.136925,1678.079575,
141,1645.722635,1531.34375,
142,1680.955925,1333.87715,
143,1553.15615,811.0661,
144,1677.224585,1180.2269,
145,1636.28166,1170.4415,
146,1344.206735,1425.10555,
147,1543.1274225,845.7856,
148,1579.221,851.1424,
149,1608.454285,909.27975,
150,1570.191185,897.2258,
151,1505.006692,1040.21485,
152,1637.700645,785.941,
153,1593.584665,897.4125,
154,1467.197515,959.4394,
155,1548.21278,934.8979,
156,1504.2773465,1164.40695,
157,1304.20774,1242.6502,
158,1647.6473,869.1048,
159,1521.5843075,1079.0597,
160,1514.088043,1028.541,
161,1473.528347,1445.2824,
162,1584.752465,940.0456,
163,1437.262415,1040.98555,
164,1477.422785,934.77815,
165,1497.4295205,1284.5859,
166,1474.543735,919.87935,
167,1527.076563,1002.17815,
168,1478.5812,947.5036,
169,1713.51531,1281.09005,
170,1451.41318,1085.0125,
171,1507.022801,1015.4272,
172,1544.52049,983.91985,
173,1495.877904,908.885,
174,1531.12405,964.204,
175,1574.59763,956.412,
176,1478.020145,1249.77585,
177,1518.0723015,961.5693,
178,1502.225727,1239.4933,
179,1421.255365,1052.17755,
180,1729.87432,1322.38175,
181,1680.282615,959.7081,
182,1467.699115,1134.53005,
183,1637.696615,1353.7681,
184,1783.80868,1213.83985,
185,1576.452095,1116.28495,
186,1498.227001,1106.93135,
187,1484.7001915,1306.89845,
188,1663.2855,1281.1245,
189,1673.139825,1591.2215,
190,1620.331275,1001.0095,
191,1383.369675,1539.03675,
192,1387.74623,1305.52535,
193,1475.11471,1417.7136,
194,1647.09715,1020.37505,
195,1620.900115,1664.10002,
196,1619.58581,1304.1864,
197,1863.4066,1585.91805,
198,1546.32135,1088.57485,
199,1769.5523,1324.8854,
200,1528.8559915,1111.5876,
201,1664.257315,1066.8825,
202,1542.409135,1135.29505,
203,1429.13302,1170.9663,
204,1816.421225,1334.1751,
205,1545.139923,1061.01065,
206,1758.95344,1289.70485,
207,1655.080225,1318.36105,
208,1840.1001,1297.77615,
209,1608.10462,1098.23395,
210,1547.696865,1171.56345,
211,1680.25575,1080.47565,
212,1701.670725,1297.9023,
213,1667.259485,1265.6466,
214,1525.4405565,1143.302,
215,1705.0855,1261.087,
216,1519.8595675,1158.4281,
217,1688.77772,1372.0063,
218,1620.98944,1066.79465,
219,1634.444075,1071.2696,
220,1662.71479,1082.81165,
221,1749.821435,1461.03385,
222,1598.826845,1140.4964,
223,1564.268455,1171.4769,
224,1667.86924,1150.7134,
225,1654.611975,1229.9624,
226,1120.951775,1437.4562,
227,1549.93221,1459.8531,
228,1732.83288,1484.03635,
229,1552.415095,1337.75715,
230,1438.533005,1563.0843,
231,1792.129875,1549.68515,
232,1578.685125,1372.2961,
233,1705.69645,1178.2369,
234,1771.75415,1172.2276,
235,1677.7749,1205.2497,
236,1781.48985,1141.21255,
237,1721.64428,1429.20215,
238,1918.5546,1377.63375,
239,1720.33451,1137.5298,
240,1825.3199,1177.58595,
241,1830.96212,1480.8277,
242,1673.53367,1248.79785,
243,1756.96679,1260.52295,
244,1685.237725,1394.70825,
245,1743.11976,1287.0734,
246,1815.2487,1409.7831,
247,1736.19642,1361.8011,
248,1657.453285,1621.84837,
249,1717.07592,1237.2741,
250,1863.47735,1193.3459,
251,1797.3165,1263.97365,
252,1718.32705,1310.43415,
253,1865.417075,1615.6426,
254,1783.00745,1334.4755,
255,1607.844445,1289.59165,
256,1810.1117,1469.5557,
257,1865.55705,1221.0485,
258,1890.7313,1318.0523,
259,1913.51742,1305.97015,
260,1882.21023,1208.0936,
261,1593.02725,1710.75085,
262,1742.35308,1198.4758,
263,1716.285025,1342.49635,
264,1534.7307585,1476.6194,
265,1489.01592,1400.9314,
266,1820.99175,1216.72445,
267,1648.43845,1269.53035,
268,1747.6141,1164.8151,
269,1775.582025,1253.71585,
270,1834.7118,1193.71625,
271,1870.48425,1462.42055,
272,1835.7412,1366.2215,
273,1823.016075,1286.93665,
274,1620.004685,1372.1597,
275,1805.7026,1428.64,
276,1634.83608,1420.41065,
277,1707.8917,1246.7145,
278,1760.74047,1161.9914,
279,1746.29911,1378.4133,
280,1845.07177,1217.0878,
281,1653.355615,1294.7065,
282,1862.6454,1278.881,
283,1789.6367,1246.46315,
284,1844.1175,1244.2023,
285,1828.8042,1309.02015,
286,1790.501365,1417.32595,
287,1485.025135,1738.044325,
288,1845.43252,1384.06695,
289,1729.17614,1263.43575,
290,1862.83185,1239.04885,
291,1818.81425,1231.4819,
292,1654.865975,1183.5785,
293,1632.923845,1249.64375,
294,1802.4182,1300.36995,
295,1689.38729,1310.25805,
296,1920.09925,1359.7528,
297,1878.8332,1410.61745,
298,1849.249535,1350.4272,
299,1283.175025,1636.3656,
300,1782.4666,1183.8407,
301,1807.42913,1245.76545,
302,1849.82275,1269.4429,
303,1736.215615,1346.10035,
304,1705.89375,1313.95535,
305,1689.989585,1716.95503,
306,1874.0384,1340.36995,
307,1774.84197,1289.78645,
308,1297.25956,1610.4735,
309,1878.98945,1255.89975,
310,1710.14492,1223.1474,
311,1782.71865,1351.05635,
312,1768.490685,1344.8168,
313,1859.15215,1337.57045,
314,1795.30587,1343.9465,
315,1722.22051,1645.5607,
316,1849.48702,1420.0986,
317,1866.4982,1353.65015,
318,1763.4542,1357.8312,
319,1754.40876,1276.47455,
320,1721.48403,1249.76295,
321,736.0304,1820.26695,
